
Name                      Datastore
----                      ---------
ktj-gwpc-intgr-app.rgs.ru esx-ktj-gwpc-dev-cluster-storage-01
ktj-gwpc-rintgr-db.rgs.ru esx-ktj-gwpc-dev-cluster-storage-03
gw-hproxy-tst08-1.rgs.ru  esx-ktj-cluster-gwpc-test-storage-…
gwpc-dev01-ts.rgs.ru      esx-ktj-gwpc-dev-01-storage-01
ktj-gwpc-intgr-db.rgs.ru  esx-ktj-gwpc-dev-cluster-storage-02
ktj-gwpc-tst02-mirror.rg… esx-ktj-gwpc-dev-cluster-storage-01
gw-hproxy-tst07-2.rgs.ru  esx-ktj-gwpc-dev-cluster-storage-02
ktj-gw-tst04-app.rgs.ru   esx-ktj-gwpc-dev-cluster-storage-02
gw-hproxy-tst06-1.rgs.ru  esx-ktj-gwpc-dev-cluster-storage-03
gw-uaa-tst07.rgs.ru       esx-ktj-gwpc-dev-cluster-storage-02
ktj-gwpc-rqa-db.rgs.ru    esx-ktj-gwpc-dev-01-storage-01
ktj-gw-devops-db.rgs.ru   esx-ktj-gwpc-dev-cluster-storage-01
ktj-gw-tst03-app.rgs.ru   esx-ktj-gwpc-dev-cluster-storage-01
ktj-gw-hotfix-db.rgs.ru   esx-ktj-gwpc-dev-cluster-storage-02
ktj-gwpc-qa-db.rgs.ru     esx-ktj-cluster-gwpc-test-storage-…
ktj-gw-devops-mirror.rgs… esx-ktj-gwpc-dev-cluster-storage-01
ktj-gw-tst05-app.rgs.ru   esx-ktj-gwpc-dev-cluster-storage-01
gw-uaa-tst04.rgs.ru       esx-ktj-gwpc-dev-cluster-storage-02
gw-uaa-tst03.rgs.ru       esx-ktj-gwpc-dev-cluster-storage-01
ktj-gw-tst05-db.rgs.ru    esx-ktj-cluster-gwpc-test-storage-…
ktj-gw-tst03-db.rgs.ru    esx-ktj-gwpc-dev-cluster-storage-02
ktj-gw-tst06-app.rgs.ru   esx-ktj-gwpc-dev-cluster-storage-03
gwpc-dev05-ts.rgs.ru      esx-ktj-gwpc-dev-01-storage-01
gw-uaa-tst06.rgs.ru       esx-ktj-gwpc-dev-cluster-storage-03
ktj-gw-tst06-db.rgs.ru    esx-ktj-cluster-gwpc-test-storage-…
ktj-gwpc-edu-db.rgs.ru    esx-ktj-gwpc-dev-cluster-storage-03
ktj-gwpe-intgr.rgs.ru     esx-ktj-cluster-gwpc-test-storage-…
ktj-gw-devops.rgs.ru      esx-ktj-gwpc-dev-cluster-storage-01
gw-agent10.rgs.ru         esx-ktj-gwpc-dev-cluster-storage-03
ktj-gw-tst07-app.rgs.ru   esx-ktj-gwpc-dev-cluster-storage-02
ktj-gwpe-tst02-mirror.rg… esx-ktj-gwpc-dev-cluster-storage-01
gw-hproxy-tst06-2.rgs.ru  esx-ktj-gwpc-dev-cluster-storage-03
gw-hproxy-tst05-1.rgs.ru  esx-ktj-gwpc-dev-cluster-storage-01
gw-uaa-tst05.rgs.ru       esx-ktj-gwpc-dev-cluster-storage-01
ktj-gwpc-rstage-db.rgs.ru esx-ktj-cluster-gwpc-test-storage-…
ktj-gw-tst07-db.rgs.ru    esx-ktj-cluster-gwpc-test-storage-…
gw-uaa-devops.rgs.ru      esx-ktj-gwpc-dev-cluster-storage-01
gw-agent07.rgs.ru         esx-ktj-cluster-gwpc-test-storage-…
ktj-gw-tst04-db.rgs.ru    esx-ktj-gwpc-dev-cluster-storage-03

